title,year,certificate,time,genre,rating,metascore,simple_desc,votes
"2.
The Lord of the Rings: The Return of the King
(2003)",(2003),PG,201 min,"Action, Adventure, Drama",9.0,"94        
        Metascore",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Votes:
1,836,623
| Gross:
$377.85M"
"4.
Inception
(2010)",(2010),PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,"74        
        Metascore","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Votes:
2,336,649
| Gross:
$292.58M"
"5.
The Lord of the Rings: The Two Towers
(2002)",(2002),PG,179 min,"Action, Adventure, Drama",8.8,"87        
        Metascore","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Votes:
1,658,409
| Gross:
$342.55M"
"6.
The Lord of the Rings: The Fellowship of the Ring
(2001)",(2001),PG,178 min,"Action, Adventure, Drama",8.8,"92        
        Metascore",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Votes:
1,865,692
| Gross:
$315.54M"
"8.
The Empire Strikes Back
(1980)",(1980),PG,124 min,"Action, Adventure, Fantasy",8.7,"82        
        Metascore","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Votes:
1,286,469
| Gross:
$290.48M"
"9.
Interstellar
(2014)",(2014),G,169 min,"Adventure, Drama, Sci-Fi",8.6,"74        
        Metascore",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Votes:
1,810,507
| Gross:
$188.02M"
"10.
Sen to Chihiro no kamikakushi
(2001)",(2001),G,125 min,"Animation, Adventure, Family",8.6,"96        
        Metascore","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Votes:
759,048
| Gross:
$10.06M"
"11.
Star Wars
(1977)",(1977),G,121 min,"Action, Adventure, Fantasy",8.6,"90        
        Metascore","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Votes:
1,359,038
| Gross:
$322.74M"
"13.
Gladiator
(2000)",(2000),R,155 min,"Action, Adventure, Drama",8.5,"67        
        Metascore",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Votes:
1,492,869
| Gross:
$187.71M"
"14.
The Lion King
(1994)",(1994),G,88 min,"Animation, Adventure, Drama",8.5,"88        
        Metascore","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Votes:
1,053,321
| Gross:
$422.78M"
"16.
Spider-Man: Into the Spider-Verse
(2018)",(2018),PG,117 min,"Animation, Action, Adventure",8.4,"87        
        Metascore","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Votes:
523,808
| Gross:
$190.24M"
"17.
Avengers: Endgame
(2019)",(2019),12A,181 min,"Action, Adventure, Drama",8.4,"78        
        Metascore","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Votes:
1,119,296
| Gross:
$858.37M"
"18.
Avengers: Infinity War
(2018)",(2018),12A,149 min,"Action, Adventure, Sci-Fi",8.4,"68        
        Metascore",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Votes:
1,071,615
| Gross:
$678.82M"
"19.
Coco
(I) (2017)",(I) (2017),G,105 min,"Animation, Adventure, Comedy",8.4,"81        
        Metascore","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Votes:
504,239
| Gross:
$209.73M"
"21.
Mononoke-hime
(1997)",(1997),PG,134 min,"Animation, Action, Adventure",8.4,"76        
        Metascore","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Votes:
393,999
| Gross:
$2.38M"
"22.
Aliens
(1986)",(1986),15,137 min,"Action, Adventure, Sci-Fi",8.4,"84        
        Metascore","Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.","Votes:
716,118
| Gross:
$85.16M"
"23.
Raiders of the Lost Ark
(1981)",(1981),G,115 min,"Action, Adventure",8.4,"85        
        Metascore","Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis.","Votes:
962,698
| Gross:
$248.16M"
"24.
Spider-Man: No Way Home
(2021)",(2021),PG-13,148 min,"Action, Adventure, Fantasy",8.3,"71        
        Metascore","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Votes:
745,274
| Gross:
$804.75M"
"25.
Up
(2009)",(2009),PG,96 min,"Animation, Adventure, Comedy",8.3,"88        
        Metascore","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Votes:
1,040,146
| Gross:
$293.00M"
"27.
Inglourious Basterds
(2009)",(2009),R,153 min,"Adventure, Drama, War",8.3,"69        
        Metascore","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Votes:
1,440,003
| Gross:
$120.54M"
"28.
Toy Story
(1995)",(1995),G,81 min,"Animation, Adventure, Comedy",8.3,"95        
        Metascore",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,"Votes:
990,166
| Gross:
$191.80M"
"29.
Star Wars: Episode VI - Return of the Jedi
(1983)",(1983),G,131 min,"Action, Adventure, Fantasy",8.3,"58        
        Metascore","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.","Votes:
1,050,087
| Gross:
$309.13M"
"32.
North by Northwest
(1959)",(1959),G,136 min,"Action, Adventure, Mystery",8.3,"98        
        Metascore","A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","Votes:
328,290
| Gross:
$13.28M"
"33.
Inside Out
(I) (2015)",(I) (2015),PG,95 min,"Animation, Adventure, Comedy",8.2,"94        
        Metascore","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Votes:
710,920
| Gross:
$356.46M"
"34.
Kimetsu no Yaiba: Mugen Ressha-Hen
(2020)",(2020),R,117 min,"Animation, Action, Adventure",8.2,"72        
        Metascore","After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.","Votes:
57,973
| Gross:
$47.70M"
"35.
Hauru no ugoku shiro
(2004)",(2004),PG,119 min,"Animation, Adventure, Family",8.2,"80        
        Metascore","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Votes:
394,464
| Gross:
$4.71M"
"37.
Jurassic Park
(1993)",(1993),PG,127 min,"Action, Adventure, Sci-Fi",8.2,"68        
        Metascore",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"Votes:
985,046
| Gross:
$402.45M"
"38.
Indiana Jones and the Last Crusade
(1989)",(1989),G,127 min,"Action, Adventure",8.2,"65        
        Metascore","In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.","Votes:
753,018
| Gross:
$197.17M"
"42.
The Bridge on the River Kwai
(1957)",(1957),PG,161 min,"Adventure, Drama, War",8.2,"87        
        Metascore","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","Votes:
221,376
| Gross:
$44.91M"
"47.
Everything Everywhere All at Once
(2022)",(2022),R,139 min,"Action, Adventure, Comedy",8.1,"81        
        Metascore","An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led.","Votes:
239,452"
"48.
Klaus
(2019)",(2019),PG,96 min,"Animation, Adventure, Comedy",8.1,"65        
        Metascore","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Votes:
149,295"
